Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Views (co-viewed),Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Comments added,Shares,Likes (vs dislikes) (%),Views,Watch time (hours),Subscribers,Thumbnail impressions,Thumbnail click-through rate (%)
6cWrxmqXadw,Security Guard Texts: My Apartment’s Live Feed,"Aug 7, 2026",27,22,0:00:08,30.38,17.19,,113,118,,,,,,0,0,0,0,1,0,0,0,100,118,0.0931,0,41,0
4IkzQYF1_m4,"I Ignored Dad's Warning, Found a Door Inside","Aug 7, 2026",29,21,0:00:09,33.19,37.5,,51,56,,,,,,0,0,0,0,0,0,0,0,,56,0.0764,0,5,0
ZTBR-CuxO4k,A Midnight Text That Made Me Run,"Aug 7, 2026",26,16,0:00:05,22.94,17.39,,75,80,,,,,,0,0,0,0,1,0,0,0,100,80,0.0513,0,21,0
fZblEJRAhZY,When a Red Box Called Me: I Found a Camera,"Aug 8, 2026",27,16,0:00:08,31.81,14.29,,87,98,,,,,,0,0,0,0,0,0,0,0,,98,0.0705,0,26,0
_YCdYNk-71U,The Key That Opened a Midnight Door,"Aug 9, 2026",38,13,0:00:20,53.01,30.95,,41,44,,,,,,0,0,0,0,0,0,0,0,,43,0.0841,0,6,0
rxxH1ao7GPk,The Keyhole That Revealed My Future,"Aug 9, 2026",33,10,0:00:12,37.09,13.7,,63,67,,,,,,0,0,0,0,3,0,0,0,100,67,0.0595,0,21,0
udAauWLd8A8,The Attic Dresser That Wrote to Me,"Aug 8, 2026",37,8,0:00:05,14.66,21.05,,35,35,,,,,,0,0,0,0,0,0,0,0,,34,0.0215,0,27,0
L0bmz-lZ5QU,The Note That Opened a Locked Desk,"Aug 9, 2026",34,5,0:00:07,21.98,14.71,,27,32,,,,,,0,0,0,0,1,0,0,0,100,32,0.0205,0,5,0
9em2Gyp4FX8,sharpshooter 350m headshot 🗣️ bgmi gameplay,"May 12, 2024",8,4,0:00:05,72.29,66.67,,3,0,,,,,,0,0,0,0,0,0,0,0,,5,0.007,0,14,14.29
SIQTuU2Oj_E,dagger headshot 🗣️ . dagger master. attitude gameplay bgmi #pubgmobile #pubgbattlegroundsmobileindia,"May 27, 2024",16,3,0:00:16,101.88,42.86,,1,0,,,,,,0,0,0,0,0,0,0,0,,7,0.0138,0,116,0.86
4Jt9l3Pqn5M,The Basement Door That Knocked Once,"Aug 12, 2026",34,3,0:00:11,33.5,100,,3,1,,,,,,0,0,0,0,0,0,0,0,,3,0.0095,0,16,12.5
Kivcwq9zbJk,The Attic Mailbox That Hinted at My Future,"Aug 11, 2026",34,3,0:00:08,25.49,60,,5,5,,,,,,0,0,0,0,0,0,0,0,,5,0.0078,0,9,0
MxKTXm9CLwE,1v2 funny fight with uzi 🤣 full funny gameplay,"Jun 5, 2024",15,2,0:00:17,116.67,100,,2,0,,,,,,0,0,0,0,-1,0,0,0,100,4,0.0097,0,3,0
2ek1mF31nyk,back to back 1v2 and smooth rotation with m63 #bgmi,"Jun 9, 2024",40,2,0:00:23,59.62,100,,2,0,,,,,,0,0,0,0,0,0,0,0,,2,0.0132,0,18,0
YXJ0oYiyhdw,The Key That Opened a Vanished Basement,"Aug 13, 2026",37,2,0:00:14,38.8,100,,2,1,,,,,,0,0,0,0,1,0,0,0,100,2,0.008,0,11,9.09
juHfYNJMXnU,The basement door that hummed louder,"Aug 10, 2026",36,2,0:00:18,52.64,66.67,,3,0,,,,,,0,0,0,0,0,0,0,0,,3,0.0111,0,7,0
0AErnrc6dW0,The Basement Door That Whispered My Name,"Aug 11, 2026",36,2,0:00:33,92.31,33.33,,4,5,,,,,,0,0,0,0,0,0,0,0,,6,0.02,0,23,0
ZXwIwvZoRJ8,The Basement Door That Wouldn't Stay Locked,"Aug 13, 2026",28,2,0:00:05,21.25,100,,2,0,,,,,,0,0,0,0,0,0,0,0,,2,0.0033,0,16,0
Y-VfL37qmeQ,Bas ak hacker jesa spray he bas . bgmi game play,"May 14, 2024",12,2,0:00:11,95.42,100,,2,0,,,,,,0,0,0,0,0,0,0,0,,2,0.0064,0,21,0
QxiPP6WMOzY,The Basement Door That Hummed Alone,"Aug 12, 2026",38,1,0:00:27,72.87,50,,2,0,,,,,,0,0,0,0,0,0,0,0,,2,0.0083,0,13,0
ofxijiijnls,The basement door that hid a family secret,"Aug 13, 2026",29,1,0:00:03,10.34,100,,1,0,,,,,,0,0,0,0,0,0,0,0,,1,0.0008,0,14,7.14
Ix9-WF1tqE4,The Piano That Played Itself at 3 a.m.,"Aug 10, 2026",52,1,0:00:07,13.85,100,,1,1,,,,,,0,0,0,0,0,0,0,0,,1,0.002,0,22,0
k87Ll-6V32o,The Music Box That Revealed My Secret,"Aug 13, 2026",46,1,0:00:43,95.54,100,,1,0,,,,,,0,0,0,0,0,0,0,0,,1,0.0122,0,21,0
YAjtejs7YaY,The Garage Door That Opened by Itself,"Aug 12, 2026",39,1,0:00:43,111.01,50,,1,0,,,,,,0,0,0,0,0,0,0,0,,2,0.012,0,10,0
ZSS5QhvobSo,back to back tehelka with m24 and grenade #bgmishorts,"Jun 14, 2024",10,1,0:00:10,107,100,,1,0,,,,,,0,0,0,0,0,0,0,0,,2,0.003,0,10,10
IuFFYp6EfN0,The Attic Mirror That Waved at Me,"Aug 8, 2026",33,1,0:00:07,23.64,4.17,,17,18,,,,,,0,0,0,0,0,0,0,0,,18,0.0089,0,4,0
2ajEt-GAHgU,The Envelope That Watched Us Sleep,"Aug 14, 2026",26,0,,,0,,1,1,,,,,,0,0,0,0,0,0,0,0,,1,0.0011,0,13,0
xdIcdUT1lr4,The Door That Lead Me Into a Mirror,"Aug 11, 2026",39,0,,,0,,1,1,,,,,,0,0,0,0,0,0,0,0,,1,0.0006,0,9,0
RCj3nT7DAxw,The Photo That Came from My Bedroom Window,"Aug 10, 2026",46,0,,,0,,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,7,0
_vLRA4QjcLA,The Basement Door That Locked Me Out,"Aug 12, 2026",30,0,,,0,,1,0,,,,,,0,0,0,0,0,0,0,0,,1,0.0007,0,14,0
7txp72j7pOw,The Mirror That Lurched Me After Midnight,"Aug 14, 2026",22,0,,,0,,1,1,,,,,,0,0,0,0,0,0,0,0,,1,0.0008,0,10,0
zKtvIOD3LEw,The Text That Warned Me Not to Check the Clock,"Aug 12, 2026",32,0,,,,,1,0,,,,,,0,0,0,0,0,0,0,0,,1,0,0,10,0
IEqRqQ54q-A,The Attic Box That Held My Secret,"Aug 10, 2026",34,0,,,0,,1,0,,,,,,0,0,0,0,0,0,0,0,,1,0.0001,0,74,0
RjYCmbuBTfg,The Letter That Arrived After the Funeral,"Aug 13, 2026",44,,,,,,0,0,,,,,,,,,,,,,,,,,,7,0
LnX-WgFj_O4,The Locket That Changed Its Photo Overnight,"Aug 11, 2026",31,,,,,,0,0,,,,,,,,,,,,,,,,,,4,0
Jm5OpLfApoA,The Red Box That Whispered From Inside,"Aug 10, 2026",45,,,,,,0,0,,,,,,,,,,,,,,,,,,6,0
9PyNxZswi18,The Rusted Key That Opened a Secret,"Aug 11, 2026",30,,,,,,0,0,,,,,,,,,,,,,,,,,,3,0
QE43Y7SHayM,The Finger That Haunted My Apartment,"Aug 15, 2026",41,,,,,,0,0,,,,,,,,,,,,,,,,,,7,0
pstW7Pjv_Ek,The Key That Fit a Burned House,"Aug 14, 2026",38,,,,,,0,0,,,,,,,,,,,,,,,,,,6,0
37M0xiQAMww,The Message That Made Me Stay,"Aug 12, 2026",35,,,,,,0,0,,,,,,,,,,,,,,,,,,16,0
Pwdimc2erTI,The Key That Opened a Forgotten Room,"Aug 10, 2026",29,,,,,,0,0,,,,,,,,,,,,,,,,,,1,0
 -phQtRuGdi4,The Box That Ran Away from Me,"Aug 14, 2026",35,,,,,,0,0,,,,,,,,,,,,,,,,,,5,0
ahkaEvxxjl4,The Lockbox That Turned By Itself,"Aug 10, 2026",36,,,,,,0,0,,,,,,,,,,,,,,,,,,28,0
dp9QIfheZ-Q,The closet that opened by itself,"Aug 15, 2026",36,,,,,,1,0,,,,,,,,,,,,,,,,,,5,0
jqsOfoUKQYY,The Fridge Note That Summoned Her,"Aug 12, 2026",30,,,,,,0,0,,,,,,,,,,,,,,,,,,4,0
K9Hb6RigdVs,The Music Box That Played Before I Was Born,"Aug 14, 2026",39,,,,,,0,0,,,,,,,,,,,,,,,,,,7,0
1hKevhhQs5I,The Phone That Vanished with a Mysterious Note,"Aug 11, 2026",40,,,,,,0,0,,,,,,,,,,,,,,,,,,10,0
d5NhhI4Lfs4,The attic door that never opened,"Aug 12, 2026",37,,,,,,0,0,,,,,,,,,,,,,,,,,,17,0
cPW0qXiEoc8,The Attic Door That Opened by Itself,"Aug 11, 2026",43,,,,,,0,0,,,,,,,,,,,,,,,,,,11,0
R433sNCFg4g,The Rusted Key That Opened My Future,"Aug 11, 2026",28,,,,,,0,0,,,,,,,,,,,,,,,,,,6,0
eHm2cUehP_A,The Locked Box That Knew My Name,"Aug 10, 2026",34,,,,,,0,0,,,,,,,,,,,,,,,,,,10,0
35GAUpN6rvY,The Key That Locked Me Inside,"Aug 13, 2026",31,,,,,,0,0,,,,,,,,,,,,,,,,,,4,0
T5eS01WkVHU,My Cheat Sheet had one rule written in scarlet ink: Nev,"Aug 14, 2026",37,,,,,,0,0,,,,,,,,,,,,,,,,,,8,0
bZCswznOZmc,"A text from an unknown number said, 'Meet me at pier at","Aug 15, 2026",35,,,,,,0,0,,,,,,,,,,,,,,,,,,13,0
Ks5KxzCF8cY,The Key That Sparked a Midnight Mystery,"Aug 14, 2026",40,,,,,,0,0,,,,,,,,,,,,,,,,,,4,0
SvVzpS_2Nas,The Alarm Clock That Reversed Time,"Aug 12, 2026",35,,,,,,0,0,,,,,,,,,,,,,,,,,,11,0
jXgEQUnK5ks,The silver lockbox That Led to a Secret,"Aug 13, 2026",33,,,,,,0,0,,,,,,,,,,,,,,,,,,3,0
8WF4AGDuZoo,The Locket That Opened After Midnight,"Aug 13, 2026",30,,,,,,0,0,,,,,,,,,,,,,,,,,,4,0
3QT8oHWIUjE,The Windshield Note That Made Me Stay,"Aug 12, 2026",24,,,,,,0,0,,,,,,,,,,,,,,,,,,8,0
JNyDpmD9xvs,The locket that held a secret key,"Aug 11, 2026",33,,,,,,0,0,,,,,,,,,,,,,,,,,,8,0
HrRVS8bwaxM,The Blue Box That Hid a Note,"Aug 10, 2026",31,,,,,,0,0,,,,,,,,,,,,,,,,,,10,0
FsCd8rjTbtc,The Red Box That Shouldn't Exist,"Aug 14, 2026",33,,,,,,0,0,,,,,,,,,,,,,,,,,,15,0
p-zhMa5vtYE,The Note That Told Me Not to Look,"Aug 13, 2026",37,,,,,,0,0,,,,,,,,,,,,,,,,,,2,0
7PN7_CJV-S0,The yellow key that unlocked a mirror,"Aug 15, 2026",39,,,,,,0,0,,,,,,,,,,,,,,,,,,4,0
SrPEmiBAhb8,The Door That Whispered My Name,"Aug 15, 2026",39,,,,,,0,0,,,,,,,,,,,,,,,,,,18,0
hlj3jwM6dMU,The Voicemail That Fell Forward in Time,"Aug 14, 2026",40,,,,,,0,0,,,,,,,,,,,,,,,,,,11,0
EsWA1BmT8SI,The Key That Opened My Future,"Aug 10, 2026",36,,,,,,0,0,,,,,,,,,,,,,,,,,,6,0
